Subject,Bank Name (English),Bank Name (Arabic),Founding Year,Ownership Structure,Bank Type,Sanctions Status,Operational Status (2025),Branches (2014 Pre-War),Branches (2025 Current),Total Assets (USD Millions),Crisis Impact Summary,Compelling Narrative,Top 3 Sources,Data Confidence Level,Error
CAC Bank (Credit Agricole Yemen) - Yemen's largest commercial bank,Cooperative and Agricultural Credit Bank (CAC Bank),بنك التسليف التعاوني والزراعي,1982,State-owned (Republic of Yemen),Commercial,"No sanctions found on international lists (OFAC, EU, UN) specifically against CAC Bank. However, the bank was pressured to formally relocate its headquarters to Aden in 2024/2025 to avoid potential sanctions, following the designation of other major Yemeni banks.",Split operations (Aden/Sana'a),46,Unknown,$2.24B (2014) / $1.67B (2015),"The bank was severely impacted by the war, with total assets dropping from YER 482 billion in 2014 to YER 359 billion in 2015. The 2016 CBY split created a dual regulatory environment, complicating its operations and forcing a formal relocation of its headquarters to Aden in 2024/2025 to avoid international sanctions, despite maintaining a significant operational presence in Sana'a.","CAC Bank, Yemen's largest commercial bank and a state-owned institution, has played a pivotal role in the country's economic history, particularly in financing the agricultural sector. Its journey through the crisis is a microcosm of the Yemeni financial sector's struggle, with its assets plummeting by 25% in the first year of the war. Despite the conflict and the 2016 CBY split, the bank has demonstrated remarkable resilience, maintaining a wide branch network and adapting to the dual-authority environment. Its recent formal relocation of its headquarters to Aden, under pressure from the internationally recognized government and the threat of US sanctions, highlights its critical, yet precarious, position at the heart of Yemen's fractured economy.","CAC Bank Annual Report 2016, World Bank Yemen Financial Sector Diagnostics 2024, Sana'a Center for Strategic Studies","Medium - High confidence in pre-2016 data (profile, 2014 assets, 2014 branches) from World Bank and bank reports. Low confidence in current (2025) branches and assets due to lack of recent, verifiable financial statements and the operational split.",
Yemen Kuwait Bank - Major commercial bank with Kuwaiti ownership,Yemen Kuwait Bank for Trade and Investment Y.S.C.,بنك اليمن والكويت للتجارة والاستثمار,1977,Private Yemeni-owned (originally a Yemeni-Kuwaiti joint venture),Commercial,"Sanctioned by the U.S. Department of the Treasury's Office of Foreign Assets Control (OFAC) on January 17, 2025, for providing financial support to Ansarallah (the Houthis), including aiding in money laundering and facilitating Iranian oil sales. OFAC issued General License 32 to authorize a wind-down of transactions.",Partially operational,Unknown,27,Data not available,"The 2011 revolution contributed to general instability, but the major impact came from the 2015 war and the 2016 CBY split. YKB chose to remain headquartered in Sana'a, aligning its operations with the Houthi-controlled Central Bank of Yemen (CBY-Sana'a). This decision led to the CBY-Aden revoking its license and culminated in the U.S. Treasury's OFAC sanctions in January 2025, severely restricting its access to the international financial system.","Yemen Kuwait Bank (YKB) is a symbol of the deep fragmentation within Yemen's financial sector, having transformed from the country's first private bank in 1977 into a key financial entity operating under Houthi control in Sana'a. While many banks struggled or split operations, YKB experienced an ""unprecedented revival"" in Houthi-controlled areas post-2014, becoming one of the few major banks to remain headquartered in the capital. This alignment led to its designation by the U.S. Treasury in January 2025 for allegedly facilitating illicit financial activities for the Houthis, including money laundering and supporting Iranian oil sales. Despite the sanctions, YKB continues to operate a significant network of 27 branches and over 140 ATMs, making it a critical, albeit controversial, conduit for financial services in northern Yemen.","U.S. Department of the Treasury Press Release (Jan 17, 2025), Yemen Kuwait Bank LinkedIn Profile, Sana'a Center for Strategic Studies","Medium: Profile and sanctions data are high-confidence (official U.S. Treasury and bank sources). Financial data (assets, pre-war branches) is low-confidence, relying on fragmented reports and general sector data.",
Tadhamon International Islamic Bank - Leading Islamic bank,Tadhamon International Islamic Bank,بنك التضامن الإسلامي الدولي,1996,"Private, Yemeni Joint Stock Company (part of Hayel Saeed Anam Group)",Islamic,"No direct OFAC, EU, or UN sanctions found on the bank itself. However, the bank was subject to a Houthi seizure of assets in 2021 and was one of the banks ordered by the CBY-Aden to relocate from Sana'a in 2025 due to regulatory disputes.",Split operations (Aden/Sana'a),24,37,"$2,314M (2022)","The bank's operations were severely impacted by the 2015 war and the 2016 CBY split, which created a liquidity crisis and a fractured regulatory environment. The most dramatic impact was the 2021 seizure of its assets and deposits by the Houthi authorities in Sana'a, leading to a major operational crisis. In 2025, the bank was forced to formally notify the CBY-Aden of its intention to relocate its headquarters, solidifying a difficult operational split between the two warring capitals.","Tadhamon Bank, the largest private Islamic bank in Yemen, has demonstrated remarkable resilience by maintaining its asset base and expanding its branch network to 37 locations despite the ongoing conflict. Its unique challenge came in 2021 when the Houthi authorities in Sana'a seized its assets and deposits, forcing the bank to operate under immense political pressure. This crisis culminated in 2025 when the bank, along with others, was ordered by the CBY-Aden to relocate its headquarters, formalizing a difficult operational split between the country's two financial centers. The bank's survival through this political and economic turmoil highlights its critical role in Yemen's fractured financial landscape.","Tadhamon Bank Official Website, Sana'a Center for Strategic Studies, World Bank Yemen Economic Monitor","Medium - High confidence in bank profile and crisis impact from multiple credible sources (bank website, Sana'a Center, World Bank). Financial data is based on the most recent publicly available figures (2022) and is subject to the volatility and unreliability of the Yemeni rial exchange rate. Branch numbers are based on the bank's own claims and secondary sources.",
Yemen Commercial Bank - State-owned commercial bank,Yemen Commercial Bank (YCB),البنك التجاري اليمني,1993,Private (Yemeni closed joint-stock company),Commercial,"No sanctions found. While other Yemeni banks have been sanctioned by the US Treasury (OFAC) in 2025 for supporting the Houthis, Yemen Commercial Bank (YCB) itself has not been designated as of December 2025.",Partially operational,Unknown,12,Data not available,"The 2015 war and the 2016 CBY split severely impacted YCB, forcing it to navigate a fractured monetary system with two rival central banks. Like all commercial banks, YCB faced a massive liquidity crisis, a sharp decline in deposits, and the challenge of maintaining operations across warring territories. Its head office is now listed in Aden, but it maintains a significant branch network in Sana'a, indicating a necessary, though unconfirmed, form of split or dual operation to serve customers across the divided country.","Yemen Commercial Bank (YCB) holds the unique distinction of being the first private commercial bank established after the 1990 unification of Yemen, founded by a consortium of Yemeni businessmen in 1993. This private status is a crucial differentiator, as the user's initial prompt incorrectly identified it as ""State-owned."" Despite the devastating civil war and the 2016 split of the Central Bank of Yemen, YCB has demonstrated remarkable resilience, maintaining its operations and expanding its digital services. Its survival and continued focus on modern banking solutions, such as its 70-ATM network and ""Tejari"" digital services, highlight its pivotal role in sustaining financial inclusion amidst one of the world's worst humanitarian crises.","Yemen Commercial Bank official website, Sana'a Center for Strategic Studies, World Bank Financial Sector Diagnostics","Low: Specific financial data (assets, capital) and pre-war branch numbers for YCB are not publicly available from credible international sources or the bank's website. The ownership status was clarified, but the current operational status is inferred from the branch listing.",
National Bank of Yemen - Major state bank,National Bank of Yemen,البنك الأهلي اليمني,1969,State-owned by the Government of the Republic of Yemen,Commercial,"No sanctions found. The bank is the state-owned commercial bank operating under the internationally recognized government in Aden, which is generally aligned with US/EU policy. Recent US sanctions have targeted other banks (e.g., International Bank of Yemen) for supporting the Houthis, but NBY has not been designated.",Partially operational,46,27,"$2,825M (2023)","The 2011 revolution and 2015 war severely impacted NBY's financial activities and led to a significant reduction in its branch network. The 2016 CBY split was a defining moment, with NBY firmly aligning its head office and operations under the CBY-Aden, effectively making it the state's commercial banking arm in the south. This alignment has protected it from recent US sanctions targeting banks operating under Houthi control, but has also isolated its operations from the northern regions.","As the primary state-owned commercial bank, the National Bank of Yemen (NBY) has been a central figure in Yemen's economic war, operating under the internationally recognized government's authority in Aden. Its survival and continued operation, despite the collapse of the unified financial system, underscore its critical role in maintaining a semblance of formal banking in the south. The NBY's network, though reduced from its pre-war size, remains a vital channel for government salaries and international transactions, making it a key instrument in the ongoing financial struggle for legitimacy and control. Its ability to secure international recognition and avoid sanctions, unlike some Sana'a-based counterparts, highlights its strategic importance to the Aden government.","National Bank of Yemen (NBY) 2023 Financial Data, World Bank Yemen Economic Monitor, Sana'a Center for Strategic Studies","Medium: Financial data is from 2023, and branch counts (2014: 46, 2025: 27) are estimates based on cross-referencing a World Bank report and a Wikipedia/2021 FS snippet, not a definitive 2025 figure from the bank itself.",
Cooperative and Agricultural Credit Bank (CACB) - Agricultural finance focus,Cooperative and Agricultural Credit Bank (CAC Bank),البنك التعاوني الزراعي,1982,State-owned (Government of Yemen),Commercial,"No sanctions found. The bank is not listed on the OFAC, EU, or UN sanctions lists.",Split operations (Aden/Sana'a),46,Unknown,$1.22B (2021),"The 2011 revolution and 2015 war led to severe operational challenges and a liquidity crisis. The 2016 CBY split was the most significant blow, as the Sana'a-based CBY branch stopped servicing government debt, which constituted a majority of CAC Bank's assets. This caused a sharp drop in interest income and liquidity, forcing the bank to officially move its headquarters to Aden and split its operations, though it has since managed to increase its total assets by 38% between 2016 and 2021 by focusing on liquid assets.","CAC Bank, once a cornerstone of Yemen's financial system with a focus on agricultural development, became a casualty of the country's political fragmentation. As a state-owned bank, its high exposure to government securities (65% of assets in 2014) meant the 2016 CBY split and subsequent suspension of interest payments by the Sana'a-based CBY branch severely impacted its liquidity and profitability. The bank was forced to split its operations, with the official headquarters relocating to Aden, while a large portion of its network remained in the North. This division transformed the bank from a national institution into a symbol of the country's economic and political schism, yet it continues to operate in both regions, adapting to the dual-economy reality.","World Bank Yemen Financial Sector Diagnostics (2024), CAC Bank Official Website, OpenSanctions Database","Medium: Core profile data (name, founding year, ownership) is confirmed by multiple sources. Financial data is sourced from a World Bank report citing 2021 figures, but a precise, recent USD conversion is challenging due to the dual exchange rate system. The current number of operating branches is unknown, but the pre-war number is confirmed. Sanctions status is confirmed as clear.",
Saba Islamic Bank - Islamic banking services,Saba Islamic Bank,بنك سبأ الإسلامي,1997,"Private joint-stock company with a wide shareholder base, including the Islamic Corporation for the Development of the Private Sector (ICD) as a key shareholder.",Islamic,"No direct sanctions found on Saba Islamic Bank. However, in March 2025, the bank officially relocated its headquarters from Sana'a to Aden to avoid being subjected to US sanctions imposed on the Houthi-controlled financial system.",Split operations (Aden/Sana'a),17,14,Data not available,"The bank's operations were severely fragmented by the 2015 war and the 2016 CBY split, forcing it to navigate two separate regulatory environments. The most significant impact came in March 2025, when SIB officially relocated its headquarters from Sana'a to Aden to preemptively avoid US sanctions targeting the Houthi-controlled financial system. This move, which followed the arrest of some of its executives by Houthi security forces, highlights the extreme operational risks and political pressure faced by the bank.","Saba Islamic Bank (SIB) was a pioneer in Yemen's Islamic finance sector, rapidly expanding its network to 17 branches across the country before the war. Its most compelling story is its recent strategic move in March 2025, when it officially notified the Central Bank of Yemen in Aden of its decision to relocate its headquarters from Sana'a. This move, taken alongside other major banks, was a direct response to the threat of US sanctions following the designation of the Houthis as a Foreign Terrorist Organization, underscoring the bank's desperate effort to maintain access to the international financial system. This relocation represents a watershed moment, challenging the Houthi-controlled financial authority and solidifying the bank's alignment with the internationally recognized government.","CBY Aden Clarification Announcement (March 2025), ICD Project Page (Saba Islamic Bank), Sana'a Center for Strategic Studies (Revitalizing Yemen's Banking Sector)","Medium: Founding year and operational status are confirmed by primary sources (CBY-Aden, bank's own history). Financial data (assets, ratios) is unavailable, and branch counts are based on pre-war academic/partner reports and recent partner data, which may not reflect current operational capacity.",
Yemen Islamic Bank - Sharia-compliant banking,Tadhamon International Islamic Bank,بنك التضامن الدولي الإسلامي,1996,"Private Yemeni Joint Stock Company, with strong ties to the Hayel Saeed Anam Group (HSA).",Islamic,"No sanctions found. The bank's website states it uses sanctions screening against OFAC, UN, EU, and UK lists. There are no public records of TIIB or its leadership being designated by major international bodies.",Split operations (Aden/Sana'a),40,40,"$2,160M (2020)","The 2011 revolution and 2015 war severely impacted TIIB's operating environment, leading to a political split in the Central Bank of Yemen (CBY) in 2016. TIIB, headquartered in Sana'a, faced immense pressure from the CBY-Aden to relocate, a directive it eventually complied with in 2024, leading to a de facto split in its regulatory oversight. Despite the turmoil, the bank's financial statements noted the continuing economic crisis but maintained an unqualified opinion, highlighting its relative stability. The crisis forced the bank to operate under dual regulatory systems and navigate a volatile exchange rate environment, yet it managed to maintain its branch network and a strong deposit base.","Tadhamon International Islamic Bank (TIIB) stands as a resilient giant in Yemen's fractured financial landscape, consistently ranking as one of the country's largest banks by assets and deposits, a position it has maintained even after the 2015 conflict. Unlike many peers, TIIB successfully navigated the CBY split and the subsequent economic war, managing to keep its extensive network of 40 branches and offices operational across both the Houthi-controlled North and the internationally-recognized government's South. Its unique strength lies in its deep ties to the powerful Hayel Saeed Anam Group, which provides a crucial, non-political anchor of stability and trust for its vast customer base, making it a vital conduit for remittances and humanitarian aid. The bank's survival and continued operation in a politically and economically divided country make its journey a remarkable case study in financial resilience under extreme duress.","Tadhamon Bank Official Website, Sana'a Center for Strategic Studies, TIIB Consolidated Financial Statements (2020)","Medium - High confidence in bank profile and operational status based on the bank's official website and multiple credible third-party reports. Low confidence in the 2014 branch number, which is assumed to be the same as the current number due to lack of a specific pre-war figure. Financial data is based on the bank's 2020 audited financial statements.",
International Bank of Yemen - Commercial banking,International Bank of Yemen Y.S.C.,بنك اليمن الدولي,1979,"Private, with significant ownership by influential Yemeni families and the Saudi-Yemeni Bin Mahfooz family. Currently under the de facto control of Houthi authorities in Sana'a.",Commercial,"Sanctioned by the U.S. Department of the Treasury's Office of Foreign Assets Control (OFAC) on April 17, 2025, for providing financial support to the Iran-backed Houthi group (Ansarallah). The designation includes a general license for a wind-down period. No confirmed EU or UN sanctions found as of the research date.",Partially operational,Unknown,Unknown,Data not available,"The 2015 war and the 2016 CBY split severely impacted IBY, primarily due to its location in Sana'a, which placed it under the control of the Houthi authorities. This led to its alleged use for Houthi financial operations. The ultimate impact was the April 2025 designation by the US Treasury (OFAC) for providing financial support to the Houthis, which effectively cut the bank off from the international financial system and severely restricted its operations.","The International Bank of Yemen (IBY) is a symbol of the deep entanglement between Yemen's private sector and its political conflict. Once a leading private commercial bank, its story has become a cautionary tale of institutional capture. Its headquarters in Sana'a placed it under the de facto control of the Houthi authorities, leading to its eventual designation by the US Treasury in April 2025 for providing financial support to the group. This sanctioning, which includes a wind-down period, effectively isolates one of Yemen's largest banks from the international financial system, highlighting the extreme risks faced by institutions operating in the Houthi-controlled north and underscoring the devastating impact of the economic war on Yemen's banking sector.","U.S. Department of the Treasury (OFAC) Press Release April 2025, Sana'a Center for Strategic Studies, MEED (Middle East Economic Digest)","Low: Specific financial figures (assets, NPLs) and branch numbers are not publicly available due to the conflict and the bank's operational status. Core profile and sanctions data are confirmed from multiple credible sources.",
United Bank Limited Yemen - Foreign bank branch,"United Bank Limited, Yemen Branch",يونايتد بنك ليمتيد,1972,Foreign branch of United Bank Limited (Pakistan),Commercial,"No sanctions found on United Bank Limited or its Yemen branch by OFAC, EU, UK, or UN as of December 2025.",Partially operational,2,Unknown,Data not available,"The ongoing civil war and subsequent political and economic instability created insurmountable challenges for the branch, leading to the inability to repatriate profits and the need for the parent company to make provisions for asset impairment. The 2016 CBY split further complicated operations and access to foreign exchange.","United Bank Limited (UBL) is one of the few foreign banks that has maintained a presence in Yemen, having operated a branch in Sana\'a since 1972 and a second in Aden since 2008. Despite the parent company acknowledging ""insurmountable challenges"" due to the civil war, the branch has continued its administrative existence, filing tax returns as recently as 2024. This enduring, albeit severely limited, presence highlights the bank\'s long-term commitment to the Yemeni market, even as its operational capacity has been reduced to a fraction of its pre-war state. Its continued, minimal operation makes it a quiet, yet significant, case study in foreign banking resilience in a conflict zone.","UBL Annual Report 2024, World Bank Policy Note 3 (2017), UBL Annual Report 2021",Medium: Profile and crisis impact are well-documented in parent company reports. Financial and current branch data is aggregated or unavailable.,
