Subject,Research Category,Events Found,Indicators Found,Reports Found,Key Findings,Data Quality,Top Sources,Error
"Yemen 2010: Pre-crisis baseline economic data, GDP, inflation, poverty, banking sector status, key events",year,5,6,2,"Yemen in 2010 was marked by economic fragility, with 7.7% GDP growth but high inflation (9.8%) and widespread poverty (46.6% at $2/day). The economy was heavily dependent on rapidly dwindling oil revenues, which caused a record fiscal deficit (10% of GDP in 2009) and a widening current account deficit. Political instability, including a fragile Houthi ceasefire and rising southern separatism, severely complicated necessary economic reform efforts.",Good,"World Bank, IMF, Bertelsmann Transformation Index (BTI)",
"Yemen 2011: Arab Spring revolution, Ali Abdullah Saleh, economic impact, protests, GDP decline, humanitarian situation",causation,5,4,2,"The 2011 revolution in Yemen, driven by protests against President Ali Abdullah Saleh, caused a severe economic shock. Real GDP contracted by 12.0%, inflation surged to 19.5%, and oil production was disrupted. The political crisis culminated in the signing of the GCC Initiative in November, but the resulting political instability led to a major humanitarian crisis with over 416,000 internally displaced persons.",Limited,"Atlantic Council, UN OCHA, Macrotrends, IndexMundi",
"Yemen 2012: Political transition, Hadi presidency, economic recovery attempts, donor support, reforms",year,5,5,3,"Yemen's 2012 transition, marked by Hadi's presidency, saw a modest economic rebound (2.4% GDP growth) from the 2011 crisis, driven by improved security and donor support. However, the country faced severe macroeconomic instability, evidenced by a high fiscal deficit (9.4% of GDP) and persistent humanitarian crisis, with an estimated 10 million people food insecure and unemployment soaring to 29.2%. International donors pledged nearly $8 billion to support the Transitional Program for Stabilization and Development (TPSD).",Limited,"World Bank, International Monetary Fund (IMF), United Nations Development Programme (UNDP), Gulf Cooperation Council (GCC)",
"Yemen 2013: National Dialogue Conference, economic challenges, inflation, unemployment, banking sector",year,4,7,4,"Yemen in 2013 was characterized by a fragile political transition, marked by the start of the National Dialogue Conference (NDC), alongside significant economic challenges. Key economic indicators showed a rebound in Real GDP (6.0%) and hydrocarbon GDP (26.2%) following the 2011 crisis, but inflation remained high at 12.0%, and the total unemployment rate was estimated at 13.67%. The economy was heavily reliant on external donor support, notably the $8 billion pledged by the Friends of Yemen group, to manage a widening fiscal deficit (-5.8% of GDP) and implement structural reforms, particularly in the energy subsidy and financial sectors. The banking sector remained stable but faced high non-performing loans (25.5%) and limited domestic investment opportunities.",Good,"IMF, World Bank, ILO, Atlantic Council",
"Yemen 2014: Houthi takeover of Sana'a, economic deterioration, fuel subsidies removal, protests, instability",causation,5,6,3,"The 2014 crisis was immediately triggered by the government's IMF-advised fuel subsidy removal in July, aimed at addressing a severe fiscal deficit. The Houthi movement exploited this economic shock, leading to mass protests and the military takeover of Sana'a on September 21, 2014. This event, built on pre-existing vulnerabilities like a 49% poverty rate, initiated the major escalation of the civil war and led to a sharp economic decline.",Good,"International Monetary Fund, World Bank, UN OCHA",
"Yemen 2015: Operation Decisive Storm, Saudi-led coalition, war begins, economic collapse, humanitarian crisis, CBY operations",year,4,3,3,"The 2015 war, initiated by Operation Decisive Storm, caused an immediate and severe economic collapse, with real GDP contracting by nearly 28%. Despite the conflict, the Central Bank of Yemen (CBY) in Sana'a maintained a critical, neutral function throughout 2015, paying public salaries and stabilizing the currency at 215 YER/US$1, which temporarily mitigated a worse humanitarian crisis. The economic war was characterized by a coalition blockade and the CBY's struggle to manage foreign reserves, leading to a sharp rise in inflation.",Limited,"Sana'a Center for Strategic Studies, World Bank, International Monetary Fund, UN OCHA",
"Yemen 2016: Central Bank split (Aden/Sana'a), currency fragmentation, exchange rate divergence, humanitarian catastrophe",causation,4,7,3,"The 2016 CBY split was a political decision to weaponize the economy, leading to hyperinflation (254.9%), a 26% exchange rate divergence, and the collapse of public salary payments. This financial shock drove the poverty rate to an estimated 70.9% and rapidly accelerated the pre-existing humanitarian catastrophe.",Fair,"World Bank, IMF, UN OCHA, Sana'a Center",
"Yemen 2017: Cholera outbreak, economic fragmentation deepens, dual banking system, inflation surge, humanitarian crisis",causation,3,2,4,"The year 2017 was marked by a devastating cholera outbreak (450,000 suspected cases by Aug) and a deepening economic crisis. The 2016 Central Bank split led to a dual banking system, exacerbating economic fragmentation and contributing to a sharp rise in inflation (24.7% annual). The conflict caused an estimated 37.5% cumulative GDP contraction since 2015, severely undermining public services and household income. Humanitarian aid, led by UN agencies, was critical but underfunded.",Limited,"World Bank, UN OCHA, WHO, Sana'a Center for Strategic Studies",
"Yemen 2018: Currency crisis, exchange rate collapse in Aden, humanitarian catastrophe, aid flows, banking sector stress",causation,7,4,4,"The 2018 crisis was driven by the CBY split, leading to expansive monetary policy and a fiscal deficit. This caused the Yemeni Rial to collapse, reaching 800 YR/USD in October, and fueled inflation estimated at over 40%. The economic collapse severely exacerbated the humanitarian catastrophe, with 22.2 million people in need of aid, despite a $2 billion deposit from KSA to stabilize the currency.",Fair,"World Bank, UN OCHA, Sana'a Center for Strategic Studies, Norwegian Refugee Council",
"Yemen 2019: Currency ban by Houthis, Riyadh Agreement, STC, exchange rate crisis, humanitarian situation",causation,3,5,3,"The year 2019 was defined by the **Riyadh Agreement** between the Hadi government and the STC, and the **Houthi currency ban** in Sana'a. The political agreement temporarily stabilized the rial, while the currency ban created a **dual exchange rate crisis** and a payment crisis in the North. The humanitarian situation remained the world's worst, with 24.1 million people needing aid and 10 million facing severe food insecurity.",Limited,"World Bank, UN OCHA, Sana'a Center for Strategic Studies",
"Yemen 2020: COVID-19 pandemic impact, economic shock, remittances decline, humanitarian crisis worsens, aid challenges",causation,7,8,3,"Yemen's economy contracted by 8.5% in 2020, driven by the COVID-19-induced decline in remittances and trade, and compounded by conflict-related fiscal fragmentation. Aid obstruction led to significant donor funding cuts, worsening the already severe humanitarian crisis and pushing inflation to 35.0%.",Fair,"World Bank, Human Rights Watch, UN OCHA, IFPRI",
"Yemen 2021: Fuel crisis, continued economic deterioration, humanitarian situation, aid dependency, banking sector",causation,5,6,3,"Yemen's economic and humanitarian crisis deepened in 2021, driven by the fragmentation of the Central Bank of Yemen and the resulting currency war, which saw the riyal depreciate to historic lows and inflation soar (e.g., food basket cost up 52% in the South). The severe fuel crisis, marked by a 72% decline in Hodeidah fuel imports, compounded the crisis, leaving 20.7 million people in need of humanitarian assistance. Key policy responses included a US$660 million IMF SDR allocation and the CBY-Aden's launch of a foreign exchange auction mechanism in November.",Fair,"World Bank, UN OCHA, Central Bank of Yemen, IMF",
"Yemen 2022: UN truce (April-October), temporary stabilization, economic breathing space, humanitarian access",causation,7,5,3,"The 2022 UN truce provided a significant economic breathing space, mainly through a massive increase in fuel imports via Hodeidah port, which lowered distribution costs in Houthi-controlled areas. The truce also saw the stabilization of the Yemeni rial in IRG areas, supported by a $2 billion pledge from Saudi Arabia and the UAE. The truce's expiration led to renewed economic warfare, notably Houthi attacks on oil exports.",Limited,"World Bank, Sana'a Center for Strategic Studies, ACAPS, UN OCHA",
