Subject,Year,Major Events Summary,GDP Data,Exchange Rate,Inflation Rate,Humanitarian Data,Key Actors,Major Reports,Causation Relationships,Sources,Error
2010 (pre-crisis baseline),2010,"The year 2010 served as a pre-crisis baseline for Yemen, characterized by robust economic growth and simmering political and humanitarian challenges. Economically, the country experienced a strong real GDP growth of 7.7%, primarily driven by the coming online of the Yemen LNG project and high oil prices, despite a high inflation rate of 11.2%. Politically, the year began with the formal end of the Sixth Sa'ada War against the Houthis in February, though the government continued to face a growing threat from Al-Qaeda in the Arabian Peninsula (AQAP) and underlying political instability. The humanitarian situation remained precarious, with 7.5 million people (32.1% of the population) classified as food insecure, and up to 300,000 internally displaced persons (IDPs) from the northern conflict requiring aid.","$30.9B, 7.7% growth (IMF 2010)",225 YER/USD (IMF 2010),11.2% (IMF 2010),"7.5M food insecure, up to 300,000 IDPs, $121.4M funding (OCHA FTS 2010)","Government of Yemen (Ali Abdullah Saleh), Houthis, Al-Qaeda in the Arabian Peninsula (AQAP), Saudi Arabia, United Nations (OCHA, WFP, UNHCR), International Monetary Fund (IMF), World Bank","Republic of Yemen: Request for a Three-Year Arrangement Under the Extended Credit Facility—Staff Report (IMF, September 2010) URL: https://www.imf.org/external/pubs/ft/scr/2010/cr10300.pdf; Yemen Humanitarian Response Plan 2010 (UN OCHA) URL: https://fts.unocha.org/plans/314/summary; Inflation Dynamics in Yemen: An Empirical Analysis (IMF Working Paper, June 2010) URL: https://www.imf.org/external/pubs/ft/wp/2010/wp10144.pdf; Yemen Food Security Country Brief (FAO, June-August 2010) URL: https://openknowledge.fao.org/handle/20.500.14283/AM572E","End of 6th Sa'ada War (Feb 2010) → Temporary reduction in internal conflict (pre-2011 stability)
High oil prices and LNG production coming online → Real GDP growth of 7.7% (IMF 2010)
Global food and fuel price volatility → Inflation rate of 11.2% (IMF 2010)
High population growth and limited resources → 7.5M people food insecure (WFP 2010)","IMF Staff Report 2010, UN OCHA FTS, WFP, IRIN, FAO, FRED St. Louis",
2011 (Arab Spring & protests),2011,"The year 2011 was defined by the Yemeni Revolution, a wave of Arab Spring protests that led to widespread political turmoil and a severe economic contraction. The protests and associated conflict, including attacks on critical infrastructure like oil pipelines, caused a sharp decline in real GDP by 12.7% and fueled an inflation rate of 19.54%. The political crisis culminated in the signing of the Gulf Cooperation Council (GCC) Initiative in November, which established a framework for a political transition. Concurrently, the humanitarian situation deteriorated significantly, with 10.6 million people becoming food-insecure and tens of thousands displaced by fighting, particularly in the Abyan Governorate.","$32.73B, -12.7% growth (World Bank/IMF 2011)",218.00 YER/USD (US Treasury 2011),19.54% (Macrotrends/IMF 2011),"10.6M food insecure, Tens of thousands IDPs, $292.3M total requirements (OCHA 2011)","Government of Yemen (Ali Abdullah Saleh), Houthis, Gulf Cooperation Council (GCC), United Nations (UN), World Bank, International Monetary Fund (IMF), Saudi Arabia, UAE",Agreement on the Implementation Mechanism for the Transition in Yemen Pursuant to the GCC Initiative (GCC/UN 2011); Yemen Humanitarian Response Plan 2011 (UN OCHA 2011); Yemen Humanitarian Response Plan 2011 : mid-year review (UN OCHA 2011); Impacts of the triple global crisis on growth and poverty: The case of Yemen (Breisinger et al. 2011),"Yemeni Revolution (Arab Spring) → Real GDP Contraction (-12.7%)
Attacks on oil pipelines and electricity plants → Oil production drop and fuel shortages
Political turmoil and supply chain disruption → Food price increase (+46%)
Political instability and conflict in Abyan → Internal Displacement (Tens of thousands)","World Bank, IMF, Macrotrends, US Treasury, UN OCHA, ConstitutionNet, Sana'a Center, ReliefWeb, UN News, CS Monitor, Washington Post",
2012 (Hadi transition),2012,"The year 2012 marked the formal political transition in Yemen, with the unopposed election of Abdrabbuh Mansur Hadi as President in February, ending the 33-year rule of Ali Abdullah Saleh under the GCC Initiative. Economically, the country began a fragile recovery from the 2011 crisis, with real GDP growth estimated at 1.4%, though political and security upheaval continued to decelerate progress. The government faced a significant fiscal challenge, with the deficit reaching 9.4% of GDP, partly due to large petroleum subsidies. The humanitarian situation remained dire, with approximately 10 million people food insecure and 385,000 internally displaced persons, necessitating a UN Humanitarian Response Plan that was 55.7% funded.","~$35.40B, 1.4% growth (World Bank 2012)",~214 YER/USD average (Market/CBY 2012),9.89% (Macrotrends 2012),"~10M food insecure, 385,000 IDPs, $326.4M funding received out of $585.6M required (UN OCHA/IDMC 2012)","Abdrabbuh Mansur Hadi (President), Ali Abdullah Saleh (Former President), Gulf Cooperation Council (GCC), United Nations (UN), World Bank, International Monetary Fund (IMF), Al-Qaeda in the Arabian Peninsula (AQAP), various military/tribal factions","Yemen Economic Monitoring Note, Fall 2012 (World Bank); Yemen Humanitarian Response Plan 2012 (UN OCHA); Global Internal Displacement Report 2013 (IDMC)","GCC Initiative and Presidential Election → Formal end of Saleh's 33-year rule (Political Transition)
Continued security upheaval and conflict (e.g., Abyan) → Deceleration of economic growth to 1.4% (World Bank 2012)
Post-revolution political instability and fiscal expansion → High inflation (9.89% - 20.4%) and large fiscal deficit (9.4% of GDP)","World Bank, International Monetary Fund (IMF), UN Office for the Coordination of Humanitarian Affairs (OCHA), Internal Displacement Monitoring Centre (IDMC), Macrotrends, PoundSterlingLive, FRED",
2013 (National Dialogue),,,,,,,,,,,
2014 (Houthi takeover),2014,"The year 2014 was defined by a rapid deterioration of Yemen's political and security environment, culminating in the Houthi takeover of the capital, Sanaa, in September, which effectively marked the beginning of the current civil war. Economically, the country faced severe challenges, including a substantial decline in oil revenue due to the sabotage of oil facilities and the government's controversial elimination of fuel subsidies under pressure from the IMF. This instability resulted in a real GDP contraction of -3.9% and contributed to a humanitarian crisis that saw 10.5 million people food insecure and over 334,000 internally displaced persons by the end of the year.","$42.44B, -3.9% growth (World Bank 2014)",215.0 YER/USD average (Central Bank of Yemen 2014),8.1% (IMF/World Bank 2014),"10.5M food insecure, 334K IDPs, $357.9M funding (UN OCHA 2014)","Houthis, Internationally Recognized Government (Hadi), United Nations, IMF, World Bank, Saudi Arabia, Al-Qaeda",Republic of Yemen: 2014 Article IV Consultation and Request for a Three-Year Arrangement (IMF) [https://www.imf.org/external/pubs/ft/scr/2014/cr14276.pdf]; Yemen Humanitarian Response Plan 2014 (UN OCHA); Yemen Strategic Response Plan 2014 (UN OCHA),"Sabotage of oil facilities → Decline in oil revenue and fiscal deterioration (IMF 2014)
Houthi takeover of Sanaa (Sep 2014) → Escalation of political instability and start of civil war (UN/Crisis Group 2014)
Political instability and oil revenue decline → Real GDP contraction of -3.9% (World Bank 2014)
IMF/World Bank pressure → Government elimination of fuel subsidies (IMF 2014)","IMF, World Bank, UN OCHA, Trading Economics, Index Mundi, Exchange Rates UK, Crisis Group",
2015 (Operation Decisive Storm begins),2015,"The year 2015 was defined by the escalation of the Yemeni Civil War, marked by the launch of the Saudi-led ""Operation Decisive Storm"" in March, which transitioned into ""Operation Restoring Hope"" in April. This military intervention led to a severe economic contraction, with the GDP plummeting by nearly 28%, and triggered a massive humanitarian crisis. The internationally recognized government of President Hadi was forced to operate from Aden, while the Houthis maintained control over the capital, Sanaa, leading to a de facto political and economic split. The conflict and subsequent blockade severely disrupted trade, oil production, and state finances, pushing millions into acute food insecurity and displacing over two million people.","$42.44B, -27.99% growth (Macrotrends 2015)",215.07 YER/USD average (Exchange-Rates.org 2015),12.00% (IndexMundi/IMF 2015),"10.6M food insecure, 2.5M IDPs, $874.2M funding (UN OCHA 2015)","Saudi Arabia, UAE, Houthis, Internationally Recognized Government (IRG), UN OCHA, World Bank, IMF, IOM","Yemen Humanitarian Response Plan 2015 Revision (UN OCHA, June 2015); IMF 2015 Annual Report (IMF); Yemen Economic Monitor (World Bank, 2015); Yemen Strategic Response Plan 2015 (UN OCHA)","Operation Decisive Storm (March 2015) → GDP collapse (-27.99% growth)
Saudi-led coalition blockade and conflict → Humanitarian crisis (10.6M food insecure, 2.5M IDPs)
Collapse of oil production and government revenue → Fiscal crisis and currency depreciation (215.07 YER/USD average)","Macrotrends, IndexMundi, Exchange-Rates.org, UN OCHA, World Bank, IMF, Wikipedia, Britannica, Council on Foreign Relations, IOM",
2016 (CBY split & banking crisis),2016,"The year 2016 was defined by the catastrophic **split of the Central Bank of Yemen (CBY)** in September, when the internationally recognized government relocated its headquarters from Sana'a to Aden, effectively fragmenting the country's financial system. This move immediately triggered a severe liquidity crisis and the cessation of civil servant salary payments in Houthi-controlled areas, deepening the economic war. The conflict and financial collapse led to a **real GDP contraction of -9.38%** and an annual inflation rate of 21.30%. The humanitarian crisis intensified, with **14.4 million people facing food insecurity**, underscoring the direct link between the political conflict and the economic and humanitarian catastrophe.","$31.32B, -9.38% growth (World Bank 2016)","250 YER/USD official rate (CBY Aden, May 2016)",21.30% (IMF 2016),"14.4M food insecure, 2.2M IDPs, $1.6B funding requested (UN OCHA 2016)","Government of Yemen (Hadi), Houthis (Ansar Allah), Saudi Arabia, UAE, UN OCHA, World Bank, IMF, Central Bank of Yemen (Sana'a), Central Bank of Yemen (Aden)",Yemen's Economic Outlook- Spring 2016 (World Bank); Yemen's Economic Outlook- Fall 2016 (World Bank); Revised 2016 Yemen Humanitarian Response Plan (UN OCHA); Republic of Yemen: Selected Issues (IMF); Yemen: Exchange Rate Policy in the Face of Dwindling Oil Exports (IMF),"CBY relocation to Aden (Sep 2016) → Banking crisis and liquidity shortage (quantified impact: 14.1M people in need of assistance)
CBY relocation to Aden (Sep 2016) → Cessation of civil servant salary payments in Sana'a (quantified impact: millions of unpaid salaries)
Conflict escalation and CBY split → Real GDP contraction (quantified impact: -9.38% growth)
Cessation of CBY foreign exchange support → YER depreciation (quantified impact: Official rate adjusted to 250 YER/USD)
Conflict and economic collapse → Increased food insecurity (quantified impact: 14.4M food insecure)","World Bank, IMF, UN OCHA, CEIC Data, Macrotrends, Al Jazeera, Sana'a Center for Strategic Studies, ReliefWeb",
2017 (Blockade & cholera outbreak),2017,"The year 2017 was defined by a severe escalation of the humanitarian crisis, primarily driven by the Saudi-led coalition's total blockade in November and the world's largest recorded cholera outbreak, which surpassed one million suspected cases. Economically, the country saw a continued contraction of real GDP by an estimated 5.9%, coupled with a sharp rise in inflation to 24.5%. The ongoing conflict and the split of the Central Bank of Yemen led to a significant divergence between the official (250 YER/USD) and parallel exchange rates, further crippling the economy and exacerbating food insecurity for 17 million people. The blockade severely restricted the flow of essential goods, pushing the country closer to famine.","$26.84B, -5.9% growth (World Bank 2018)",250 YER/USD average (CBY 2017),24.5% (OpenDataForAfrica/IMF 2017),"17M food insecure, 2.01M IDPs, $2.36B funding (UN OCHA/IOM 2017)","Saudi Arabia, UAE, Houthis, Government of Yemen, UN OCHA, World Bank, IMF, WFP, WHO, UNICEF, IOM",Yemen's Economic Outlook - April 2017 (World Bank); Yemen's Economic Outlook - October 2018 (World Bank); Yemen Humanitarian Fund - Annual Report 2017 (UN OCHA); Yemen: 2017 Humanitarian Needs Overview (UN OCHA),"Saudi-led Coalition Blockade (Nov 2017) → Exacerbated humanitarian crisis and food insecurity (17M people)
Conflict and Collapse of Public Services → World's largest recorded cholera outbreak (1M+ suspected cases)
Conflict and Central Bank Split → Real GDP contraction (-5.9%)
Central Bank Split and War Financing → Parallel market currency depreciation (250 → 360 YER/USD)","World Bank, IMF, UN OCHA FTS, IOM TFPM, OpenDataForAfrica, The Global Economy, ReliefWeb, CNN",
2018 (Hodeidah battle & Saudi deposits),2018,"The year 2018 was defined by a severe humanitarian crisis and significant economic and political events. The Saudi-led coalition deposited **$2 billion** into the Central Bank of Yemen (CBY) in March, which temporarily stabilized the Yemeni Rial and curbed hyperinflation. However, the conflict escalated dramatically with the start of the **Battle of Hodeidah** in June, threatening the country's main port and humanitarian lifeline. The year concluded with the **Stockholm Agreement** in December, which established a ceasefire in Hodeidah and provided a fragile political breakthrough. The overall economic situation remained dire, with a small positive GDP growth of **0.8%** following years of contraction, and inflation remaining high at **33.65%**.","$21.61B, 0.8% growth (World Bank 2018)",~250.37 YER/USD average (Exchange-Rates.org 2018),33.65% (Statista 2018),"15.9M severely food insecure, 2M IDPs, $1.25B funding (IPC Dec 2018, UNHCR Mar 2018, UN OCHA FTS 2018)","Saudi Arabia, UAE, Houthis, Internationally Recognized Government of Yemen (IRG), Central Bank of Yemen (CBY), UN OCHA, World Food Programme (WFP), World Bank, IMF, UN Special Envoy Martin Griffiths",Yemen Economic Outlook - Spring 2018 (World Bank); Yemen Economic Outlook - October 2018 (World Bank); Yemen: Humanitarian Response Plan - 2018 In Review (UN OCHA); Yemen: 2018 Humanitarian Needs Overview (UN OCHA),"Saudi $2B deposit in CBY (March 2018) → Temporary stabilization of the Yemeni Rial (YER) and curb on hyperinflation (quantified impact: YER/USD rate stabilized around 250 after deposit)
Battle of Hodeidah (June 2018) → Increased humanitarian crisis and threat to food imports (quantified impact: 15.9M severely food insecure)
Conflict and economic collapse → 33.65% annual inflation rate (quantified impact: 33.65% annual inflation)","World Bank, Exchange-Rates.org, Statista, UN OCHA FTS, IPC, UNHCR, Saudi Ministry of Finance, Al Jazeera, ACAPS",
2019 (Currency ban & Riyadh Agreement),,,,,,,,,,,
